EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 10-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TX   : maximum temperature in 0.1 &#176;C
23-27 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DENMARK, TRANEBJERG (STAID: 113).
Blended and updated with sources: 100438 100976 171542 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TX, Q_TX
100438,19790101,  -52,    0
100438,19790102,  -50,    0
100438,19790103,  -48,    0
100438,19790104,  -42,    0
100438,19790105,  -34,    0
100438,19790106,  -22,    0
100438,19790107,   24,    0
100438,19790108,   16,    0
100438,19790109,    8,    0
100438,19790110,   -4,    0
100438,19790111,    2,    0
100438,19790112,   -1,    0
100438,19790113,  -12,    0
100438,19790114,   -8,    0
100438,19790115,  -14,    0
100438,19790116,  -10,    0
100438,19790117,  -10,    0
100438,19790118,   -8,    0
100438,19790119,  -10,    0
100438,19790120,  -10,    0
100438,19790121,  -14,    0
100438,19790122,  -32,    0
100438,19790123,  -28,    0
100438,19790124,   -6,    0
100438,19790125,    2,    0
100438,19790126,    0,    0
100438,19790127,   -6,    0
100438,19790128,  -24,    0
100438,19790129,   -9,    0
100438,19790130,  -24,    0
100438,19790131,   14,    0
100438,19790201,   16,    0
100438,19790202,   12,    0
100438,19790203,   16,    0
100438,19790204,    6,    0
100438,19790205,    4,    0
100438,19790206,   -6,    0
100438,19790207,  -20,    0
100438,19790208,    4,    0
100438,19790209,   10,    0
100438,19790210,   -4,    0
100438,19790211,  -38,    0
100438,19790212,  -24,    0
100438,19790213,  -28,    0
